index,Lifted_mod_daily_weekly_value,Lifted_mod_daily_nextrefresh,Lifted_actual_daily,Lifted_actual_weekly,Lifted_actual_monthly,Week_structure_weekly_value,Week_structure_next_refresh,date,account_type,supplier_terminal_name,product_name,"('base_gallons', 'Daily')","('base_gallons', 'Monthly')","('base_gallons', 'Weekly')",daily_nextrefresh_flag,daily_weekValue_flag,"('beginning_gallons', 'Daily')","('beginning_gallons', 'Monthly')","('beginning_gallons', 'Weekly')","('en_allocation_status', 'Daily')","('en_allocation_status', 'Monthly')","('en_allocation_status', 'Weekly')","('percentage_allocation', 'Daily')","('percentage_allocation', 'Monthly')","('percentage_allocation', 'Weekly')","('alerts_ratability', 'Daily')","('alerts_ratability', 'Monthly')","('alerts_ratability', 'Weekly')","('next_refresh_date', 'Daily')","('next_refresh_date', 'Monthly')",Modified_NRD,"('next_refresh_date', 'Weekly')",sanityWeekly_CumulativeDaily_WeeksByLiftedGallons,sanityWeekly_CumulativeDaily_NextRefreshDate,sanityMonthly_CumulativeDaily_WeeksByLiftedGallons,sanityMonthly_CumulativeDaily_WeeksByNextRefreshDate
"2015-07-12 00:00:00",30300,30300,30300,75899,0,w4,w3,"2015-07-12 00:00:00","HIGH VOLUME TRUCK STOP","CA - Barstow-Colton KM","CA CARB ULSD",0,NULL,0,0,0,60412,NULL,265808,Available,NULL,Available,,NULL,,,NULL,,"07/13 00:00:00 PDT",NULL,0,"2015-07-18 00:00:00",1,1,0,0
"2015-07-13 00:00:00",15100,15100,0,90999,0,w4,w3,"2015-07-13 00:00:00","HIGH VOLUME TRUCK STOP","CA - Barstow-Colton KM","CA CARB ULSD",0,NULL,0,1,1,60412,NULL,265808,Available,NULL,Available,,NULL,,,NULL,,"07/14 00:00:00 PDT",NULL,0,"2015-07-18 00:00:00",1,1,0,0
"2015-07-14 00:00:00",60801,60801,60801,151800,0,w4,w3,"2015-07-14 00:00:00","HIGH VOLUME TRUCK STOP","CA - Barstow-Colton KM","CA CARB ULSD",0,NULL,0,0,0,60412,NULL,265808,Out,NULL,Available,,NULL,,,NULL,,"07/15 00:00:00 PDT",NULL,0,"2015-07-18 00:00:00",1,1,0,0
"2015-07-15 00:00:00",45599,45599,45599,197399,0,w4,w3,"2015-07-15 00:00:00","HIGH VOLUME TRUCK STOP","CA - Barstow-Colton KM","CA CARB ULSD",0,NULL,0,0,0,60412,NULL,265808,Limited,NULL,Limited,,NULL,,,NULL,,"07/16 00:00:00 PDT",NULL,0,"2015-07-18 00:00:00",1,1,0,0
"2015-07-16 00:00:00",45601,45601,45601,243000,0,w4,w3,"2015-07-16 00:00:00","HIGH VOLUME TRUCK STOP","CA - Barstow-Colton KM","CA CARB ULSD",0,NULL,0,0,0,60412,NULL,265808,Limited,NULL,Low,,NULL,,,NULL,,"07/17 00:00:00 PDT",NULL,0,"2015-07-18 00:00:00",1,1,0,0
"2015-07-17 00:00:00",7600,7600,7600,250600,0,w4,w3,"2015-07-17 00:00:00","HIGH VOLUME TRUCK STOP","CA - Barstow-Colton KM","CA CARB ULSD",0,NULL,0,0,0,60412,NULL,282528,Available,NULL,Low,,NULL,,,NULL,,"07/18 00:00:00 PDT",NULL,0,"2015-07-18 00:00:00",1,1,0,0
"2015-07-18 00:00:00",7500,7500,7500,7500,0,w5,w4,"2015-07-18 00:00:00","HIGH VOLUME TRUCK STOP","CA - Barstow-Colton KM","CA CARB ULSD",0,NULL,0,0,0,60412,NULL,265808,Available,NULL,Available,,NULL,,,NULL,,"07/19 00:00:00 PDT",NULL,0,"2015-07-25 00:00:00",1,1,0,0
"2015-07-19 00:00:00",0,0,0,7500,0,w5,w4,"2015-07-19 00:00:00","HIGH VOLUME TRUCK STOP","CA - Barstow-Colton KM","CA CARB ULSD",0,NULL,0,0,0,60412,NULL,265808,Available,NULL,Available,,NULL,,,NULL,,"07/20 00:00:00 PDT",NULL,0,"2015-07-25 00:00:00",1,1,0,0
"2015-07-20 00:00:00",0,0,0,7500,0,w5,w4,"2015-07-20 00:00:00","HIGH VOLUME TRUCK STOP","CA - Barstow-Colton KM","CA CARB ULSD",0,NULL,0,0,0,60412,NULL,265808,Available,NULL,Available,,NULL,,,NULL,,"07/21 00:00:00 PDT",NULL,0,"2015-07-25 00:00:00",1,1,0,0
"2015-07-21 00:00:00",0,0,0,7500,0,w5,w4,"2015-07-21 00:00:00","HIGH VOLUME TRUCK STOP","CA - Barstow-Colton KM","CA CARB ULSD",0,NULL,0,0,0,60412,NULL,265808,Available,NULL,Available,,NULL,,,NULL,,"07/22 00:00:00 PDT",NULL,0,"2015-07-25 00:00:00",1,1,0,0
"2015-07-22 00:00:00",19300,19300,19300,26800,0,w5,w4,"2015-07-22 00:00:00","HIGH VOLUME TRUCK STOP","CA - Barstow-Colton KM","CA CARB ULSD",0,NULL,0,0,0,60412,NULL,265808,Available,NULL,Available,,NULL,,,NULL,,"07/23 00:00:00 PDT",NULL,0,"2015-07-25 00:00:00",1,1,0,0
"2015-07-23 00:00:00",69211,69211,61711,96011,0,w5,w4,"2015-07-23 00:00:00","HIGH VOLUME TRUCK STOP","CA - Barstow-Colton KM","CA CARB ULSD",0,NULL,0,1,1,34521,NULL,241644,Unknown,NULL,Unknown,,NULL,,,NULL,,"07/24 00:00:00 PDT",NULL,0,"2015-07-25 00:00:00",1,1,0,0
"2015-07-24 00:00:00",61267,61267,61267,157278,0,w5,w4,"2015-07-24 00:00:00","HIGH VOLUME TRUCK STOP","CA - Barstow-Colton KM","CA CARB ULSD",0,NULL,0,0,0,60412,NULL,265808,Out,NULL,Available,,NULL,,,NULL,,"07/25 00:00:00 PDT",NULL,0,"2015-07-25 00:00:00",1,1,0,0
"2015-07-25 00:00:00",15036,15036,15036,15036,0,w6,w5,"2015-07-25 00:00:00","HIGH VOLUME TRUCK STOP","CA - Barstow-Colton KM","CA CARB ULSD",0,NULL,0,0,0,60412,NULL,265808,Available,NULL,Available,,NULL,,,NULL,,"07/26 00:00:00 PDT",NULL,0,"2015-08-01 00:00:00",1,1,0,0
"2015-07-26 00:00:00",59702,59702,59702,74738,0,w6,w5,"2015-07-26 00:00:00","HIGH VOLUME TRUCK STOP","CA - Barstow-Colton KM","CA CARB ULSD",0,NULL,0,0,0,60412,NULL,265808,Low,NULL,Available,,NULL,,,NULL,,"07/27 00:00:00 PDT",NULL,0,"2015-08-01 00:00:00",1,1,0,0
"2015-07-27 00:00:00",53300,53300,53300,128038,0,w6,w5,"2015-07-27 00:00:00","HIGH VOLUME TRUCK STOP","CA - Barstow-Colton KM","CA CARB ULSD",0,NULL,0,0,0,60412,NULL,265808,Low,NULL,Available,,NULL,,,NULL,,"07/28 00:00:00 PDT",NULL,0,"2015-08-01 00:00:00",1,1,0,0
"2015-07-28 00:00:00",30701,30701,30701,158739,0,w6,w5,"2015-07-28 00:00:00","HIGH VOLUME TRUCK STOP","CA - Barstow-Colton KM","CA CARB ULSD",0,NULL,0,0,0,60412,NULL,265808,Available,NULL,Available,,NULL,,,NULL,,"07/29 00:00:00 PDT",NULL,0,"2015-08-01 00:00:00",1,1,0,0
